,"Etat","Absence","CESP","Etudiant","Voeu","Rang","Subdivision","Discipline","Désir (non officiel)","Offre","SubDis"
3036,"affecté","","","2985","1","6/11","DIJON","Spécialité chirurgicale : Chirurgie générale","Chirurgie thoracique et cardio-vasculaire","11","[017028]"
3037,"affecté","","","2986","1","29/29","LILLE","Discipline : ANESTHÉSIE réanimation","","29","[023004]"
3038,"affecté","","","2987","1","5/85","NICE","Discipline : MÉDECINE générale","","85","[036011]"
3039,"affecté","","","2988","1","1/1","SAINT ETIENNE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","1","[027031]"
3040,"affecté","","","2989","1","1/2","STRASBOURG","Spécialité médicale : Médecine nucléaire","","2","[020020]"
3041,"affecté","","","2990","1","13/158","MONTPELLIER","Discipline : MÉDECINE générale","","158","[035011]"
3042,"affecté","","","2991","2","5/11","DIJON","Discipline : ANESTHÉSIE réanimation","","11","[017004]"
3043,"affecté","","","2992","5","3/9","CLERMONT-FERRAND","Discipline : PÉDIATRIE","","9","[038002]"
3044,"affecté","","","2993","1","3/9","POITIERS","Discipline : ANESTHÉSIE réanimation","","9","[031004]"
3045,"affecté","","","2994","1","80/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3046,"affecté","","","2995","1","35/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3047,"affecté","","","2996","1","27/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3048,"affecté","","","2997","1","1/5","OCEAN INDIEN","Discipline : GYNÉCOLOGIE obstétrique","","5","[042009]"
3049,"affecté","absence","","2998","1","28/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3050,"affecté","","","2999","3","81/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3051,"affecté","","","3000","1","2/9","BREST","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","9","[029028]"
3052,"affecté","","","3001","1","37/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
3053,"affecté","","","3002","2","4/6","NICE","Discipline : PÉDIATRIE","","6","[036002]"
3054,"affecté","","","3003","1","29/107","GRENOBLE","Discipline : MÉDECINE générale","","107","[025011]"
3055,"affecté","","","3004","1","11/12","ILE DE FRANCE","Spécialité médicale : Anatomie et cytologie pathologique","","12","[015012]"
3056,"affecté","","","3005","3","7/10","ANGERS","Discipline : ANESTHÉSIE réanimation","","10","[028004]"
3057,"affecté","","","3006","1","14/158","MONTPELLIER","Discipline : MÉDECINE générale","","158","[035011]"
3058,"affecté","","","3007","1","2/4","CLERMONT-FERRAND","Spécialité médicale : Oncologie","","4","[038024]"
3059,"affecté","","","3008","1","3/9","STRASBOURG","Discipline : GYNÉCOLOGIE obstétrique","","9","[020009]"
3060,"affecté","absence","","3009","1","21/105","RENNES","Discipline : MÉDECINE générale","","105","[032011]"
3061,"affecté","","","3010","1","76/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
3062,"affecté","","","3011","1","8/15","NANCY","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","15","[018028]"
3063,"affecté","","","3012","2","3/12","AMIENS","Discipline : ANESTHÉSIE réanimation","","12","[021004]"
3065,"affecté","","","3014","2","14/17","AIX MARSEILLE","Discipline : PÉDIATRIE","","17","[034002]"
3066,"affecté","","","3015","1","30/107","GRENOBLE","Discipline : MÉDECINE générale","","107","[025011]"
3067,"affecté","","","3016","1","1/6","DIJON","Discipline : GYNÉCOLOGIE obstétrique","","6","[017009]"
3068,"affecté","","","3017","1","32/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
3069,"affecté","","","3018","1","7/104","ROUEN","Discipline : MÉDECINE générale","","104","[024011]"
3070,"affecté","","","3019","1","2/7","ANGERS","Discipline : PÉDIATRIE","","7","[028002]"
3071,"affecté","","","3020","1","1/3","AIX MARSEILLE","Spécialité médicale : Anatomie et cytologie pathologique","","3","[034012]"
3072,"affecté","","","3021","1","82/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3073,"affecté","","","3022","1","2/5","LIMOGES","Spécialité chirurgicale : Chirurgie générale","Chirurgie infantile","5","[039028]"
3074,"affecté","","","3023","1","33/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
3075,"affecté","","","3024","1","29/31","LILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","31","[023028]"
3076,"affecté","","","3025","1","3/6","BREST","Discipline : ANESTHÉSIE réanimation","","6","[029004]"
3077,"affecté","","","3026","1","2/9","ANTILLES-GUYANE","Spécialité chirurgicale : Chirurgie générale","Chirurgie infantile","9","[041028]"
3078,"affecté","","","3027","1","22/105","RENNES","Discipline : MÉDECINE générale","","105","[032011]"
3079,"affecté","","","3028","3","1/1","LILLE","Spécialité médicale : Génétique médicale","","1","[023017]"
3080,"affecté","","","3029","1","15/17","AIX MARSEILLE","Discipline : PÉDIATRIE","","17","[034002]"
3081,"affecté","","","3030","1","6/85","NICE","Discipline : MÉDECINE générale","","85","[036011]"
3082,"affecté","","","3031","3","1/1","AIX MARSEILLE","Spécialité chirurgicale : Chirurgie Orale","","1","[034032]"
3083,"affecté","","","3032","1","8/10","ANGERS","Discipline : ANESTHÉSIE réanimation","","10","[028004]"
3084,"affecté","","","3033","25","4/4","ANTILLES-GUYANE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","4","[041026]"
3085,"affecté","","","3034","1","10/10","AIX MARSEILLE","Discipline : GYNÉCOLOGIE obstétrique","","10","[034009]"
3086,"affecté","","","3035","1","6/51","OCEAN INDIEN","Discipline : MÉDECINE générale","","51","[042011]"
3087,"affecté","","","3036","1","7/79","BESANCON","Discipline : MÉDECINE générale","","79","[016011]"
3088,"affecté","","","3037","1","19/111","NANTES","Discipline : MÉDECINE générale","","111","[030011]"
3089,"affecté","absence","","3038","1","36/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3090,"affecté","","","3039","1","5/17","AMIENS","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","17","[021028]"
3091,"affecté","","","3040","3","1/3","TOURS","Spécialité médicale : Pneumologie","","3","[033025]"
3092,"affecté","","","3041","1","12/12","ILE DE FRANCE","Spécialité médicale : Anatomie et cytologie pathologique","","12","[015012]"
3093,"affecté","","","3042","2","37/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3094,"affecté","","","3043","1","3/3","AMIENS","Spécialité médicale : Pneumologie","","3","[021025]"
3095,"affecté","","","3044","1","3/7","ANGERS","Discipline : PÉDIATRIE","","7","[028002]"
3096,"affecté","","","3045","6","2/4","TOURS","Spécialité médicale : Oncologie","","4","[033024]"
3097,"affecté","","","3046","1","34/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
3098,"affecté","","","3047","3","6/11","DIJON","Discipline : ANESTHÉSIE réanimation","","11","[017004]"
3099,"affecté","","","3048","1","8/11","NICE","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","11","[036028]"
3100,"affecté","","","3049","1","6/6","AIX MARSEILLE","Spécialité médicale : Pneumologie","","6","[034025]"
3101,"affecté","","","3050","1","38/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
3102,"affecté","","","3051","1","8/104","ROUEN","Discipline : MÉDECINE générale","","104","[024011]"
3103,"invalidé","","","3052","","","","pas de procédure CELINE car 2Ã¨me cycle non validé","","",""
3104,"affecté","","","3053","1","39/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
3105,"affecté","","","3054","1","2/4","CLERMONT-FERRAND","Spécialité médicale : Gastro-entérologie et hépatologie","","4","[038016]"
3106,"affecté","","","3055","1","2/2","POITIERS","Spécialité médicale : Médecine nucléaire","","2","[031020]"
3107,"affecté","","","3056","1","18/22","AIX MARSEILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","22","[034028]"
3108,"invalidé","","","3057","","","","pas de procédure CELINE car 2Ã¨me cycle non validé","","",""
3109,"affecté","","","3058","2","38/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3110,"affecté","","","3059","1","29/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3111,"affecté","","","3060","1","6/126","NANCY","Discipline : MÉDECINE générale","","126","[018011]"
3112,"affecté","","","3061","23","4/4","STRASBOURG","Spécialité médicale : Pneumologie","","4","[020025]"
3113,"affecté","","","3062","1","30/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3114,"affecté","","","3063","1","3/4","TOURS","Spécialité médicale : Oncologie","","4","[033024]"
3115,"affecté","","","3064","4","35/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
3116,"affecté","","","3065","1","39/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3117,"affecté","absence","","3066","1","40/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3118,"affecté","","","3067","1","3/5","ROUEN","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[024016]"
3119,"affecté","","","3068","1","9/10","ANGERS","Discipline : ANESTHÉSIE réanimation","","10","[028004]"
3120,"affecté","","","3069","1","1/1","DIJON","Spécialité médicale : Génétique médicale","","1","[017017]"
3121,"affecté","","","3070","4","1/3","SAINT ETIENNE","Spécialité médicale : Pneumologie","","3","[027025]"
3122,"affecté","absence","","3071","1","31/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3123,"affecté","","","3072","1","83/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3124,"affecté","","","3073","1","3/3","SAINT ETIENNE","Discipline : GYNÉCOLOGIE obstétrique","","3","[027009]"
3125,"affecté","","","3074","1","5/5","DIJON","Spécialité médicale : Oncologie","","5","[017024]"
3126,"affecté","","","3075","1","1/7","LIMOGES","Discipline : ANESTHÉSIE réanimation","","7","[039004]"
3127,"affecté","","","3076","1","21/21","LYON","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","21","[026028]"
3128,"affecté","","","3077","1","4/6","ROUEN","Spécialité médicale : Neurologie","","6","[024023]"
3129,"affecté","","","3078","1","2/7","TOURS","Discipline : PÉDIATRIE","","7","[033002]"
3130,"affecté","","","3079","4","4/6","RENNES","Discipline : GYNÉCOLOGIE obstétrique","","6","[032009]"
3131,"affecté","","","3080","1","12/141","STRASBOURG","Discipline : MÉDECINE générale","","141","[020011]"
3132,"affecté","","","3081","1","2/12","REIMS","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","12","[019028]"
3133,"affecté","","","3082","1","7/84","SAINT ETIENNE","Discipline : MÉDECINE générale","","84","[027011]"
3134,"affecté","","","2162","1","3/5","LIMOGES","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","5","[039028]"
3135,"affecté","","","3083","6","5/6","NICE","Discipline : PÉDIATRIE","","6","[036002]"
3136,"affecté","","","3084","1","7/8","SAINT ETIENNE","Discipline : ANESTHÉSIE réanimation","","8","[027004]"
3137,"affecté","","","3085","1","1/9","BORDEAUX","Discipline : BIOLOGIE médicale","","9","[037003]"
3138,"affecté","","","3086","1","4/13","NANTES","Discipline : PSYCHIATRIE","","13","[030010]"
3140,"affecté","","","3088","1","1/11","POITIERS","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","11","[031028]"
3141,"affecté","","","3089","1","2/3","BREST","Spécialité médicale : Médecine interne","","3","[029019]"
3142,"affecté","","","3090","1","41/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3143,"affecté","","","3091","1","16/19","MONTPELLIER","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","19","[035028]"
3144,"affecté","","","3092","1","3/3","BREST","Spécialité médicale : Pneumologie","","3","[029025]"
3145,"affecté","","","3093","1","6/9","TOURS","Discipline : ANESTHÉSIE réanimation","","9","[033004]"
3146,"affecté","","","3094","1","84/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3147,"affecté","","","3095","1","2/4","NICE","Discipline : GYNÉCOLOGIE obstétrique","","4","[036009]"
3148,"affecté","","","3096","32","1/2","LIMOGES","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","2","[039031]"
3149,"affecté","","","3097","1","24/240","LILLE","Discipline : MÉDECINE générale","","240","[023011]"
3150,"affecté","","","3087","1","15/158","MONTPELLIER","Discipline : MÉDECINE générale","","158","[035011]"
3151,"affecté","","","3098","1","25/240","LILLE","Discipline : MÉDECINE générale","","240","[023011]"
3152,"affecté","","","3099","1","9/11","NICE","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","11","[036028]"
3153,"affecté","","","3100","1","1/4","OCEAN INDIEN","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","4","[042028]"
3154,"affecté","","","3101","4","4/4","NANCY","Spécialité médicale : Gastro-entérologie et hépatologie","","4","[018016]"
3155,"affecté","","","3102","1","3/3","REIMS","Spécialité médicale : Néphrologie","","3","[019022]"
3156,"affecté","","","3103","1","3/11","CAEN","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","11","[022028]"
3157,"affecté","","","3013","1","2/9","CAEN","Discipline : PÉDIATRIE","","9","[022002]"
3158,"affecté","","","3104","1","5/225","AIX MARSEILLE","Discipline : MÉDECINE générale","","225","[034011]"
3159,"affecté","","","3105","1","31/107","GRENOBLE","Discipline : MÉDECINE générale","","107","[025011]"
3160,"affecté","","","3106","1","6/94","BREST","Discipline : MÉDECINE générale","","94","[029011]"
3161,"affecté","","","3107","1","7/94","BREST","Discipline : MÉDECINE générale","","94","[029011]"
3162,"affecté","","","3108","1","32/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3163,"affecté","absence","","3109","1","32/102","ILE DE FRANCE","Discipline : PSYCHIATRIE","","102","[015010]"
3164,"affecté","","","3110","1","36/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
3165,"affecté","","","3111","4","40/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
3166,"invalidé","","","3112","","","","pas de procédure CELINE car 2Ã¨me cycle non validé","","",""
3167,"affecté","","","3113","1","4/9","POITIERS","Discipline : ANESTHÉSIE réanimation","","9","[031004]"
3168,"affecté","absence","","3114","1","42/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3169,"affecté","","","3115","1","33/102","ILE DE FRANCE","Discipline : PSYCHIATRIE","","102","[015010]"
3170,"affecté","","","3116","1","2/5","NANCY","Spécialité médicale : Oncologie","","5","[018024]"
3171,"affecté","","","3117","1","4/9","CLERMONT-FERRAND","Discipline : PÉDIATRIE","","9","[038002]"
3172,"affecté","","","3118","1","2/3","AIX MARSEILLE","Spécialité médicale : Anatomie et cytologie pathologique","","3","[034012]"
3173,"affecté","","","3119","2","3/7","TOURS","Discipline : PÉDIATRIE","","7","[033002]"
3174,"affecté","","","3120","1","85/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3175,"affecté","","","3121","1","2/2","NICE","Spécialité médicale : Néphrologie","","2","[036022]"
3176,"affecté","absence","","3122","1","4/63","ANTILLES-GUYANE","Discipline : MÉDECINE générale","","63","[041011]"
3177,"affecté","","","3123","1","3/6","ROUEN","Spécialité médicale : Pneumologie","","6","[024025]"
3178,"affecté","absence","","776","1","14/22","LYON","Discipline : PSYCHIATRIE","","22","[026010]"
3179,"affecté","","","3124","1","13/93","TOURS","Discipline : MÉDECINE générale","","93","[033011]"
3180,"affecté","","","3125","6","1/5","BESANCON","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[016016]"
3181,"affecté","","","3126","1","86/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3182,"affecté","","","3127","1","87/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3183,"affecté","","","3128","1","2/3","CLERMONT-FERRAND","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","3","[038031]"
3184,"affecté","absence","","3129","1","20/111","NANTES","Discipline : MÉDECINE générale","","111","[030011]"
3185,"affecté","","","3130","1","32/107","GRENOBLE","Discipline : MÉDECINE générale","","107","[025011]"
3186,"affecté","","","3131","1","4/4","BREST","Discipline : PÉDIATRIE","","4","[029002]"
3187,"affecté","","","3132","2","2/16","ILE DE FRANCE","Discipline : SANTÉ PUBLIQUE","","16","[015007]"
3188,"affecté","","","3133","7","10/10","ANGERS","Discipline : ANESTHÉSIE réanimation","","10","[028004]"
3189,"affecté","","","3134","1","1/1","ROUEN","Spécialité chirurgicale : Neurochirurgie","","1","[024029]"
3190,"affecté","","","3135","1","19/22","AIX MARSEILLE","Spécialité chirurgicale : Chirurgie générale","Chirurgie vasculaire","22","[034028]"
3192,"affecté","","","3137","1","5/5","MONTPELLIER","Spécialité médicale : Endocrinologie, diabÃ¨te, maladies métaboliques","","5","[035015]"
3193,"affecté","","","3138","2","1/2","NICE","Spécialité médicale : Médecine interne","","2","[036019]"
3194,"affecté","","","3139","1","37/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
3195,"affecté","","","3140","4","3/3","TOURS","Spécialité médicale : Rhumatologie","","3","[033027]"
3196,"affecté","","","3141","1","4/14","ILE DE FRANCE","Spécialité médicale : Médecine physique et de réadaptation","","14","[015021]"
3197,"affecté","","","3142","1","1/2","BESANCON","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","2","[016031]"
3198,"affecté","","","3143","1","4/6","GRENOBLE","Discipline : GYNÉCOLOGIE obstétrique","","6","[025009]"
3199,"affecté","","","3144","1","9/13","TOURS","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","13","[033028]"
3200,"affecté","","","3145","4","1/7","NANCY","Spécialité médicale : Pneumologie","","7","[018025]"
3201,"affecté","","","3146","1","3/16","ILE DE FRANCE","Discipline : SANTÉ PUBLIQUE","","16","[015007]"
3202,"affecté","","","3147","1","2/2","NICE","Spécialité médicale : Pneumologie","","2","[036025]"
3203,"affecté","","","3148","1","9/15","NANCY","Spécialité chirurgicale : Chirurgie générale","Chirurgie infantile","15","[018028]"
3204,"affecté","","","3149","1","6/17","AMIENS","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","17","[021028]"
3205,"affecté","","","3150","2","5/9","POITIERS","Discipline : ANESTHÉSIE réanimation","","9","[031004]"
3206,"affecté","","","3151","4","3/3","CAEN","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","3","[022031]"
3207,"affecté","","","2051","1","3/11","CAEN","Discipline : ANESTHÉSIE réanimation","","11","[022004]"
3208,"affecté","","","3152","1","14/14","LILLE","Discipline : GYNÉCOLOGIE obstétrique","","14","[023009]"
3209,"affecté","","","3153","1","2/3","REIMS","Spécialité médicale : Gastro-entérologie et hépatologie","","3","[019016]"
3210,"affecté","","","3154","1","43/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3211,"affecté","","","3155","1","5/10","BESANCON","Discipline : ANESTHÉSIE réanimation","","10","[016004]"
3212,"affecté","","","3156","1","4/12","AMIENS","Discipline : ANESTHÉSIE réanimation","","12","[021004]"
3213,"affecté","","","3157","1","4/6","ROUEN","Spécialité médicale : Pneumologie","","6","[024025]"
3214,"affecté","","","3158","1","38/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
3215,"affecté","absence","","3159","1","6/225","AIX MARSEILLE","Discipline : MÉDECINE générale","","225","[034011]"
3216,"affecté","","","3160","1","26/240","LILLE","Discipline : MÉDECINE générale","","240","[023011]"
3217,"affecté","","","3161","1","41/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
3218,"affecté","","","3162","1","8/8","SAINT ETIENNE","Discipline : ANESTHÉSIE réanimation","","8","[027004]"
3219,"affecté","","","3163","1","21/111","NANTES","Discipline : MÉDECINE générale","","111","[030011]"
3220,"affecté","","","3164","1","7/12","ANGERS","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","12","[028028]"
3221,"affecté","","","3165","2","88/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3222,"affecté","","","3166","1","1/1","TOURS","Spécialité médicale : Médecine nucléaire","","1","[033020]"
3223,"affecté","","","3167","1","5/6","RENNES","Discipline : GYNÉCOLOGIE obstétrique","","6","[032009]"
3224,"invalidé","","","3168","","","","pas de procédure CELINE car 2Ã¨me cycle non validé","","",""
3225,"affecté","","","3169","1","3/24","TOULOUSE","Discipline : PSYCHIATRIE","","24","[040010]"
3226,"affecté","","","3170","1","89/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3227,"affecté","","","3171","5","7/11","DIJON","Discipline : ANESTHÉSIE réanimation","","11","[017004]"
3228,"affecté","","","3172","1","8/13","ROUEN","Discipline : ANESTHÉSIE réanimation","","13","[024004]"
3229,"affecté","","","3173","1","3/4","CLERMONT-FERRAND","Spécialité médicale : Gastro-entérologie et hépatologie","","4","[038016]"
3230,"affecté","absence","","3174","1","33/107","GRENOBLE","Discipline : MÉDECINE générale","","107","[025011]"
3231,"affecté","","","3175","1","39/157","TOULOUSE","Discipline : MÉDECINE générale","","157","[040011]"
3232,"affecté","","","3176","1","10/10","ILE DE FRANCE","Discipline : GYNÉCOLOGIE médicale","","10","[015005]"
3233,"affecté","absence","","3177","1","10/15","NANCY","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","15","[018028]"
3234,"affecté","","","3178","1","22/111","NANTES","Discipline : MÉDECINE générale","","111","[030011]"
3235,"affecté","","","3179","1","1/2","POITIERS","Spécialité médicale : Anatomie et cytologie pathologique","","2","[031012]"
3236,"affecté","","","3180","2","4/5","ROUEN","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[024016]"
3237,"affecté","","","3181","1","8/13","NANCY","Discipline : ANESTHÉSIE réanimation","","13","[018004]"
3238,"affecté","","","3182","5","5/5","ROUEN","Spécialité médicale : Gastro-entérologie et hépatologie","","5","[024016]"
3239,"affecté","absence","","3183","1","33/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3240,"affecté","","","3184","1","5/13","NANTES","Discipline : PSYCHIATRIE","","13","[030010]"
3241,"affecté","","","3185","1","8/11","DIJON","Discipline : ANESTHÉSIE réanimation","","11","[017004]"
3242,"affecté","","","3186","1","1/2","ANTILLES-GUYANE","Spécialité médicale : Neurologie","","2","[041023]"
3243,"affecté","","","3187","2","90/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3244,"affecté","","","3188","1","9/13","ROUEN","Discipline : ANESTHÉSIE réanimation","","13","[024004]"
3245,"affecté","","","3189","1","42/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
3246,"affecté","","","3190","1","5/6","ROUEN","Spécialité médicale : Pneumologie","","6","[024025]"
3247,"affecté","absence","","3191","1","23/111","NANTES","Discipline : MÉDECINE générale","","111","[030011]"
3248,"affecté","","","3192","1","9/13","NANCY","Discipline : ANESTHÉSIE réanimation","","13","[018004]"
3249,"affecté","","","3193","1","3/4","BORDEAUX","Spécialité médicale : Endocrinologie, diabÃ¨te, maladies métaboliques","","4","[037015]"
3250,"affecté","","","3194","1","44/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
3251,"affecté","","","3195","1","77/79","ILE DE FRANCE","Discipline : PÉDIATRIE","","79","[015002]"
3252,"affecté","","","3196","1","27/240","LILLE","Discipline : MÉDECINE générale","","240","[023011]"
3253,"affecté","","","3197","1","2/7","NANCY","Spécialité médicale : Pneumologie","","7","[018025]"
3254,"affecté","","","3198","1","1/1","ANGERS","Discipline : GYNÉCOLOGIE médicale","","1","[028005]"
3255,"affecté","absence","","3199","1","34/107","GRENOBLE","Discipline : MÉDECINE générale","","107","[025011]"
3256,"affecté","","","3200","1","1/3","LIMOGES","Spécialité médicale : Gastro-entérologie et hépatologie","","3","[039016]"
3257,"affecté","","","3201","14","3/3","POITIERS","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","3","[031031]"
3258,"affecté","","","3202","1","6/10","CLERMONT-FERRAND","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","10","[038028]"
3259,"affecté","","","3203","14","4/9","STRASBOURG","Discipline : GYNÉCOLOGIE obstétrique","","9","[020009]"
3260,"affecté","absence","","3204","1","5/6","GRENOBLE","Discipline : GYNÉCOLOGIE obstétrique","","6","[025009]"
3261,"affecté","","","3205","1","1/3","POITIERS","Spécialité médicale : Pneumologie","","3","[031025]"
3262,"affecté","","","3206","12","4/4","TOURS","Spécialité médicale : Oncologie","","4","[033024]"
3263,"affecté","","","3207","1","4/4","TOURS","Spécialité médicale : Médecine interne","","4","[033019]"
3264,"affecté","","","3208","1","1/1","CLERMONT-FERRAND","Spécialité médicale : Médecine nucléaire","","1","[038020]"
3265,"affecté","","","3209","1","91/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
3266,"affecté","","","3210","1","6/10","BESANCON","Discipline : ANESTHÉSIE réanimation","","10","[016004]"
3267,"affecté","","","3211","1","4/4","DIJON","Spécialité médicale : Neurologie","","4","[017023]"
3268,"affecté","","","3212","1","2/11","POITIERS","Spécialité chirurgicale : Chirurgie générale","Chirurgie vasculaire","11","[031028]"
3269,"affecté","","","3213","1","34/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3270,"affecté","","","3214","1","35/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3271,"affecté","","","3215","1","1/1","CAEN","Spécialité chirurgicale : Chirurgie Orale","","1","[022032]"
3272,"affecté","","","3216","1","7/126","NANCY","Discipline : MÉDECINE générale","","126","[018011]"
3273,"affecté","","","3217","1","10/11","NICE","Spécialité chirurgicale : Chirurgie générale","Chirurgie vasculaire","11","[036028]"
3274,"affecté","","","3218","1","3/10","REIMS","Discipline : ANESTHÉSIE réanimation","","10","[019004]"
3275,"affecté","","","2898","1","4/10","REIMS","Discipline : ANESTHÉSIE réanimation","","10","[019004]"
3276,"affecté","","","3219","1","2/4","OCEAN INDIEN","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","4","[042028]"
3277,"affecté","","","3220","1","5/9","STRASBOURG","Discipline : GYNÉCOLOGIE obstétrique","","9","[020009]"
3278,"affecté","absence","","3221","1","10/13","ROUEN","Discipline : ANESTHÉSIE réanimation","","13","[024004]"
3279,"affecté","","","3222","1","9/11","DIJON","Discipline : ANESTHÉSIE réanimation","","11","[017004]"
3280,"affecté","","","3223","1","36/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
3281,"affecté","","","3224","1","24/111","NANTES","Discipline : MÉDECINE générale","","111","[030011]"
3282,"affecté","absence","","3225","1","23/105","RENNES","Discipline : MÉDECINE générale","","105","[032011]"
3283,"affecté","","","3226","1","3/12","REIMS","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","12","[019028]"
3284,"affecté","","","3227","1","3/13","STRASBOURG","Discipline : PSYCHIATRIE","","13","[020010]"
3285,"affecté","","","3228","1","35/107","GRENOBLE","Discipline : MÉDECINE générale","","107","[025011]"
3286,"affecté","","","3229","1","10/13","TOURS","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","13","[033028]"
3287,"affecté","","","3230","1","24/105","RENNES","Discipline : MÉDECINE générale","","105","[032011]"
3288,"affecté","","","3231","1","1/1","RENNES","Discipline : GYNÉCOLOGIE médicale","","1","[032005]"
